time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter,.fixed_quality
2023/02/20/17:51:06.177987,0,82266,0,GNSS,42.33826604,71.08661751833333,33.141,0.62,671894.0519313037,4689443.225362745,225106.0,42,T,4
2023/02/20/17:51:07.132145,0,82267,0,GNSS,42.338266035,71.086617505,33.143,0.62,671894.0508464952,4689443.22478058,225107.0,42,T,4
2023/02/20/17:51:08.163187,0,82268,0,GNSS,42.338266018333336,71.08661748666667,33.139,0.62,671894.049381558,4689443.222892812,225108.0,42,T,4
2023/02/20/17:51:09.155289,0,82269,0,GNSS,42.338265985,71.08661746166666,33.136,0.62,671894.0474128185,4689443.219140859,225109.0,42,T,4
2023/02/20/17:51:10.163359,0,82270,0,GNSS,42.33826598666667,71.08661745833334,33.138,0.62,671894.047133669,4689443.219319191,225110.0,42,T,4
2023/02/20/17:51:11.149094,0,82271,0,GNSS,42.33826603666667,71.08661751833333,33.138,0.62,671894.0519403866,4689443.224992605,225111.0,42,T,4
2023/02/20/17:51:12.134307,0,82272,0,GNSS,42.338266018333336,71.08661749666666,33.142,0.62,671894.0502053847,4689443.222913028,225112.0,42,T,4
2023/02/20/17:51:13.173021,0,82273,0,GNSS,42.338266015,71.08661750666667,33.138,0.62,671894.0510382964,4689443.222563101,225113.0,42,T,4
2023/02/20/17:51:14.165864,0,82274,0,GNSS,42.33826602333333,71.08661749666666,33.144,0.62,671894.0501917604,4689443.2234682385,225114.0,42,T,4
2023/02/20/17:51:15.299375,0,82275,0,GNSS,42.33826603666667,71.08661752,33.137,0.62,671894.0520776928,4689443.224995974,225115.0,42,T,4
2023/02/20/17:51:16.163559,0,82276,0,GNSS,42.33826603,71.08661750333333,33.138,0.62,671894.0507228111,4689443.224221999,225116.0,42,T,4
2023/02/20/17:51:17.296171,0,82277,0,GNSS,42.338266,71.08661751,33.142,0.62,671894.0513537775,4689443.220904204,225117.0,42,T,4
2023/02/20/17:51:18.154485,0,82278,0,GNSS,42.33826601,71.0866175,33.142,0.62,671894.0505027,4689443.221994412,225118.0,42,T,4
2023/02/20/17:51:19.396683,0,82279,0,GNSS,42.338266018333336,71.08661748333333,33.139,0.62,671894.0491069476,4689443.222886073,225119.0,42,T,4
2023/02/20/17:51:20.177291,0,82280,0,GNSS,42.33826603166667,71.08661751833333,33.138,0.62,671894.051954011,4689443.224437393,225120.0,42,T,4
2023/02/20/17:51:21.176845,0,82281,0,GNSS,42.33826602166667,71.086617485,33.141,0.62,671894.0492351709,4689443.223259583,225121.0,42,T,4
2023/02/20/17:51:22.177566,0,82282,0,GNSS,42.338266043333334,71.08661750333333,33.143,0.62,671894.0506864797,4689443.225702563,225122.0,42,T,4
2023/02/20/17:51:23.314806,0,82283,0,GNSS,42.33826603,71.08661747,33.142,0.62,671894.0479767206,4689443.224154613,225123.0,42,T,4
2023/02/20/17:51:24.160254,0,82284,0,GNSS,42.33826602333333,71.086617485,33.141,0.62,671894.0492306296,4689443.223444655,225124.0,42,T,4
2023/02/20/17:51:25.314856,0,82285,0,GNSS,42.338266015,71.08661745333333,33.145,0.62,671894.0466445502,4689443.222455285,225125.0,42,T,4
2023/02/20/17:51:26.393308,0,82286,0,GNSS,42.338266026666666,71.086617485,33.14,0.62,671894.0492215466,4689443.223814795,225126.0,42,T,4
2023/02/20/17:51:27.204174,0,82287,0,GNSS,42.338265996666664,71.08661749166667,33.14,0.62,671894.0498525109,4689443.220497,225127.0,42,T,4
2023/02/20/17:51:28.201814,0,82288,0,GNSS,42.33826599166667,71.08661744666666,33.146,0.62,671894.0461589117,4689443.219850818,225128.0,42,T,4
2023/02/20/17:51:29.195807,0,82289,0,GNSS,42.338266016666665,71.08661744333334,33.152,0.62,671894.0458161819,4689443.222620139,225129.0,42,T,4
2023/02/20/17:51:30.174813,0,82290,0,GNSS,42.33826602,71.08661748333333,33.143,0.62,671894.0491024063,4689443.223071143,225130.0,42,T,4
2023/02/20/17:51:31.218656,0,82291,0,GNSS,42.33826601166667,71.08661751666666,33.147,0.62,671894.0518712039,4689443.222213177,225131.0,42,T,4
2023/02/20/17:51:32.175383,0,82292,0,GNSS,42.338265998333334,71.08661750333333,33.152,0.62,671894.0508090984,4689443.220705655,225132.0,42,T,4
2023/02/20/17:51:33.208726,0,82293,0,GNSS,42.33826602333333,71.08661749833334,33.151,0.62,671894.0503290645,4689443.223471609,225133.0,42,T,4
2023/02/20/17:51:34.299283,0,82294,0,GNSS,42.33826599166667,71.086617525,33.149,0.62,671894.0526122259,4689443.220009175,225134.0,42,T,4
2023/02/20/17:51:35.145020,0,82295,0,GNSS,42.338265981666666,71.08661752,33.152,0.62,671894.05222756,4689443.218888643,225135.0,42,T,4
2023/02/20/17:51:36.168284,0,82296,0,GNSS,42.338266025,71.08661749,33.146,0.62,671894.0496380004,4689443.223639834,225136.0,42,T,4
2023/02/20/17:51:37.179816,0,82297,0,GNSS,42.338266025,71.086617535,33.146,0.62,671894.053345224,4689443.223730805,225137.0,42,T,4
2023/02/20/17:51:38.179862,0,82298,0,GNSS,42.33826601166667,71.086617515,33.15,0.62,671894.0517338999,4689443.222209807,225138.0,42,T,4
2023/02/20/17:51:39.190240,0,82299,0,GNSS,42.33826601,71.08661749666666,33.15,0.62,671894.0502280919,4689443.221987674,225139.0,42,T,4
2023/02/20/17:51:40.179699,0,82300,0,GNSS,42.33826601166667,71.086617515,33.147,0.62,671894.0517338999,4689443.222209807,225140.0,42,T,4
2023/02/20/17:51:41.246182,0,82301,0,GNSS,42.338265995,71.08661747333333,33.152,0.62,671894.0483467029,4689443.220274868,225141.0,42,T,4
2023/02/20/17:51:42.151862,0,82302,0,GNSS,42.33826599,71.08661748833333,33.148,0.62,671894.0495960664,4689443.21974998,225142.0,42,T,4
2023/02/20/17:51:43.190953,0,82303,0,GNSS,42.33826602166667,71.08661752833333,33.148,0.62,671894.0528050883,4689443.223347185,225143.0,42,T,4
2023/02/20/17:51:44.182343,0,82304,0,GNSS,42.33826603666667,71.08661750833333,33.153,0.62,671894.051116562,4689443.224972389,225144.0,42,T,4
2023/02/20/17:51:45.189838,0,82305,0,GNSS,42.338266043333334,71.08661747833334,33.153,0.62,671894.0486269138,4689443.225652023,225145.0,42,T,4
2023/02/20/17:51:46.193042,0,82306,0,GNSS,42.338266018333336,71.08661750333333,33.15,0.62,671894.0507546011,4689443.222926505,225146.0,42,T,4
2023/02/20/17:51:47.190870,0,82307,0,GNSS,42.33826603,71.086617455,33.149,0.62,671894.0467409815,4689443.224124289,225147.0,42,T,4
2023/02/20/17:51:48.171374,0,82308,0,GNSS,42.33826603,71.08661749833334,33.147,0.62,671894.0503108988,4689443.22421189,225148.0,42,T,4
2023/02/20/17:51:49.229789,0,82309,0,GNSS,42.338266026666666,71.08661753833333,33.149,0.62,671894.0536152909,4689443.223922611,225149.0,42,T,4
2023/02/20/17:51:50.199335,0,82310,0,GNSS,42.33826602833334,71.08661752166667,33.151,0.62,671894.052237704,4689443.224073989,225150.0,42,T,4
2023/02/20/17:51:51.175382,0,82311,0,GNSS,42.33826602833334,71.086617475,33.151,0.62,671894.0483931785,4689443.223979649,225151.0,42,T,4
2023/02/20/17:51:52.171765,0,82312,0,GNSS,42.33826602166667,71.08661749333334,33.144,0.62,671894.0499216936,4689443.22327643,225152.0,42,T,4
2023/02/20/17:51:53.222300,0,82313,0,GNSS,42.338266005,71.0866175,33.139,0.62,671894.0505163244,4689443.221439201,225153.0,42,T,4
2023/02/20/17:51:54.258967,0,82314,0,GNSS,42.338266,71.08661749,33.15,0.62,671894.0497061219,4689443.220863773,225154.0,42,T,4
2023/02/20/17:51:55.183940,0,82315,0,GNSS,42.33826602833334,71.08661750833333,33.144,0.62,671894.051139269,4689443.224047035,225155.0,42,T,4
2023/02/20/17:51:56.181275,0,82316,0,GNSS,42.338266018333336,71.08661751666666,33.146,0.62,671894.0518530383,4689443.222953459,225156.0,42,T,4
2023/02/20/17:51:57.183711,0,82317,0,GNSS,42.33826600166667,71.08661748666667,33.15,0.62,671894.0494269722,4689443.221042104,225157.0,42,T,4
2023/02/20/17:51:58.171731,0,82318,0,GNSS,42.338266008333335,71.08661748333333,33.147,0.62,671894.0491341962,4689443.221775649,225158.0,42,T,4
2023/02/20/17:51:59.385049,0,82319,0,GNSS,42.33826603,71.08661750666667,33.141,0.62,671894.0509974236,4689443.224228737,225159.0,42,T,4
2023/02/20/17:52:00.220304,0,82320,0,GNSS,42.33826603166667,71.086617515,33.143,0.62,671894.0516794027,4689443.224430655,225200.0,42,T,4
2023/02/20/17:52:01.143255,0,82321,0,GNSS,42.338266015,71.08661747166667,33.142,0.62,671894.0481548996,4689443.222492347,225201.0,42,T,4
2023/02/20/17:52:02.167380,0,82322,0,GNSS,42.33826602,71.08661748833333,33.144,0.62,671894.0495143207,4689443.223081251,225202.0,42,T,4
2023/02/20/17:52:03.187408,0,82323,0,GNSS,42.338266015,71.0866175,33.144,0.62,671894.0504890758,4689443.222549624,225203.0,42,T,4
2023/02/20/17:52:04.202003,0,82324,0,GNSS,42.33826604,71.08661750166667,33.145,0.62,671894.0505582584,4689443.225329052,225204.0,42,T,4
2023/02/20/17:52:05.406997,0,82325,0,GNSS,42.33826602833334,71.08661749333334,33.144,0.62,671894.0499035278,4689443.224016711,225205.0,42,T,4
2023/02/20/17:52:06.204298,0,82326,0,GNSS,42.33826603833333,71.08661749333334,33.144,0.62,671894.0498762793,4689443.225127135,225206.0,42,T,4
2023/02/20/17:52:07.174855,0,82327,0,GNSS,42.33826603166667,71.08661748166666,33.145,0.62,671894.0489333121,4689443.224363269,225207.0,42,T,4
2023/02/20/17:52:08.147437,0,82328,0,GNSS,42.33826602333333,71.08661743,33.145,0.62,671894.0446995792,4689443.223333467,225208.0,42,T,4
2023/02/20/17:52:09.171630,0,82329,0,GNSS,42.33826603,71.086617435,33.146,0.62,671894.0450933259,4689443.224083857,225209.0,42,T,4
2023/02/20/17:52:10.177046,0,82330,0,GNSS,42.33826602166667,71.08661747166667,33.146,0.62,671894.0481367339,4689443.22323263,225210.0,42,T,4
2023/02/20/17:52:11.200770,0,82331,0,GNSS,42.338265995,71.08661743833333,33.143,0.62,671894.0454633061,4689443.220204112,225211.0,42,T,4
2023/02/20/17:52:12.201797,0,82332,0,GNSS,42.338266015,71.08661745,33.144,0.62,671894.0463699399,4689443.2224485455,225212.0,42,T,4
2023/02/20/17:52:13.149370,0,82333,0,GNSS,42.33826602333333,71.08661749166667,33.144,0.62,671894.0497798481,4689443.223458132,225213.0,42,T,4
2023/02/20/17:52:14.181356,0,82334,0,GNSS,42.338266006666665,71.08661747333333,33.145,0.62,671894.048314913,4689443.221570362,225214.0,42,T,4
2023/02/20/17:52:15.187428,0,82335,0,GNSS,42.33826603833333,71.08661749166667,33.143,0.62,671894.0497389752,4689443.225123766,225215.0,42,T,4
2023/02/20/17:52:16.198098,0,82336,0,GNSS,42.33826602,71.08661747833334,33.148,0.62,671894.0486904939,4689443.223061034,225216.0,42,T,4
2023/02/20/17:52:17.199593,0,82337,0,GNSS,42.33826601166667,71.08661746666667,33.147,0.62,671894.047752068,4689443.222112097,225217.0,42,T,4
2023/02/20/17:52:18.169295,0,82338,0,GNSS,42.338266018333336,71.08661748833333,33.15,0.62,671894.049518862,4689443.222896181,225218.0,42,T,4
2023/02/20/17:52:19.157943,0,82339,0,GNSS,42.33826602833334,71.086617495,33.141,0.62,671894.050040832,4689443.22402008,225219.0,42,T,4
2023/02/20/17:52:20.186803,0,82340,0,GNSS,42.338266016666665,71.08661747,33.142,0.62,671894.048013052,4689443.222674048,225220.0,42,T,4
2023/02/20/17:52:21.203064,0,82341,0,GNSS,42.33826605,71.08661748,33.14,0.62,671894.0487460522,4689443.226395677,225221.0,42,T,4
2023/02/20/17:52:22.201015,0,82342,0,GNSS,42.338266025,71.08661746333334,33.147,0.62,671894.0474411284,4689443.223585925,225222.0,42,T,4
2023/02/20/17:52:23.190999,0,82343,0,GNSS,42.33826603666667,71.08661749333334,33.141,0.62,671894.0498808208,4689443.224942066,225223.0,42,T,4
2023/02/20/17:52:24.150764,0,82344,0,GNSS,42.33826602833334,71.086617475,33.143,0.62,671894.0483931785,4689443.223979649,225224.0,42,T,4
2023/02/20/17:52:25.183830,0,82345,0,GNSS,42.33826603333333,71.08661747333333,33.141,0.62,671894.0482422501,4689443.224531492,225225.0,42,T,4
2023/02/20/17:52:26.190508,0,82346,0,GNSS,42.33826603333333,71.08661749,33.146,0.62,671894.0496152933,4689443.224565185,225226.0,42,T,4
