time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter,.fixed_quality
2023/02/20/17:03:17.191779,0,79397,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.61,671924.3256245108,4689328.669490508,220317.0,42,T,4
2023/02/20/17:03:18.200819,0,79398,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.6,671924.3256245108,4689328.669490508,220318.0,42,T,4
2023/02/20/17:03:19.197184,0,79399,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.6,671924.3256245108,4689328.669490508,220319.0,42,T,4
2023/02/20/17:03:20.277932,0,79400,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.6,671924.3256245108,4689328.669490508,220320.0,42,T,4
2023/02/20/17:03:21.159182,0,79401,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220321.0,42,T,4
2023/02/20/17:03:22.184858,0,79402,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220322.0,42,T,4
2023/02/20/17:03:23.164788,0,79403,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220323.0,42,T,4
2023/02/20/17:03:24.155043,0,79404,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220324.0,42,T,4
2023/02/20/17:03:25.194130,0,79405,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220325.0,42,T,4
2023/02/20/17:03:26.163070,0,79406,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220326.0,42,T,4
2023/02/20/17:03:27.185705,0,79407,0,GNSS,42.33722816666667,71.0869505,24.5,0.59,671924.3123480377,4689328.650646463,220327.0,42,T,4
2023/02/20/17:03:28.187463,0,79408,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220328.0,42,T,4
2023/02/20/17:03:29.189551,0,79409,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220329.0,42,T,4
2023/02/20/17:03:30.153232,0,79410,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220330.0,42,T,4
2023/02/20/17:03:31.159695,0,79411,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220331.0,42,T,4
2023/02/20/17:03:32.189722,0,79412,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.61,671924.3260787171,4689328.650983446,220332.0,42,T,4
2023/02/20/17:03:33.154735,0,79413,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220333.0,42,T,4
2023/02/20/17:03:34.133628,0,79414,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220334.0,42,T,4
2023/02/20/17:03:35.181027,0,79415,0,GNSS,42.33722816666667,71.08695066666667,24.6,0.6,671924.3260787171,4689328.650983446,220335.0,42,T,4
2023/02/20/17:03:36.197541,0,79416,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220336.0,42,T,4
2023/02/20/17:03:37.208902,0,79417,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220337.0,42,T,4
2023/02/20/17:03:38.180634,0,79418,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220338.0,42,T,4
2023/02/20/17:03:39.260672,0,79419,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220339.0,42,T,4
