time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.imu.header.seq,.imu.header.stamp.secs,.imu.header.stamp.nsecs,.imu.header.frame_id,.imu.orientation.x,.imu.orientation.y,.imu.orientation.z,.imu.orientation.w,.imu.orientation_covariance,.imu.angular_velocity.x,.imu.angular_velocity.y,.imu.angular_velocity.z,.imu.angular_velocity_covariance,.imu.linear_acceleration.x,.imu.linear_acceleration.y,.imu.linear_acceleration.z,.imu.linear_acceleration_covariance,.mag_field.header.seq,.mag_field.header.stamp.secs,.mag_field.header.stamp.nsecs,.mag_field.header.frame_id,.mag_field.magnetic_field.x,.mag_field.magnetic_field.y,.mag_field.magnetic_field.z,.mag_field.magnetic_field_covariance,.raw_imu_string
2023/03/02/14:12:32.253022,2246,1677784352,249242544,imu1_frame,0,0,0,,0.1761635616634118,0.25745192359079627,0.43799800088670304,0.8431148544538352,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.27974,0.325406,0.284307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.3,7.09,-7.906,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.191,-0.4538,-0.1879,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.278815,2247,1677784352,274337053,imu1_frame,0,0,0,,0.16925253770940574,0.25476333373103416,0.4449364745675834,0.8417129890078601,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.556942,0.213551,0.401062,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.19,6.973,-9.242,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1854,-0.4513,-0.1842,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.303113,2248,1677784352,299253702,imu1_frame,0,0,0,,0.15904788190070066,0.2525653998475752,0.45246712785710436,0.8403499201353436,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.626782,0.150532,0.511016,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.123,5.895,-9.479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1797,-0.4571,-0.1777,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.327968,2249,1677784352,324035167,imu1_frame,0,0,0,,0.14934222385931628,0.2517237230330117,0.45873904121643194,0.8389818588616694,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.45843,0.015951,0.471851,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.198,4.836,-9.508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.174,-0.4617,-0.1727,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.353643,2250,1677784352,349344968,imu1_frame,0,0,0,,0.14264073847593883,0.2528304726010534,0.46230495786933357,0.83785708672828,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.178811,0.125328,0.369885,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.135,4.553,-9.307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1694,-0.4628,-0.1622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.378075,2251,1677784352,374310493,imu1_frame,0,0,0,,0.13867575750834096,0.2554740367850136,0.46362091281021284,0.8369932496820284,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.016216,0.213943,0.284859,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.106,4.674,-9.023,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1672,-0.464,-0.1636,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.402929,2252,1677784352,398954153,imu1_frame,0,0,0,,0.13639191796991793,0.25937208420499425,0.4637325802707413,0.8361073260312248,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.144999,0.223387,0.321278,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.122,5.106,-8.315,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1604,-0.4674,-0.1613,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.427953,2253,1677784352,424158096,imu1_frame,0,0,0,,0.13505582920666692,0.2643337357520984,0.46376632535275425,0.8347504984182055,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.286979,0.250433,0.341944,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.142,4.628,-8.214,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1571,-0.4662,-0.1629,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.453194,2254,1677784352,449037313,imu1_frame,0,0,0,,0.1344825150936409,0.2700550504180088,0.46315319190342813,0.8333509727044672,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.326951,0.264667,0.352018,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.296,4.674,-7.847,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1527,-0.4637,-0.1726,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.478387,2255,1677784352,474583864,imu1_frame,0,0,0,,0.13408796073491125,0.2758124713310328,0.46261909679570246,0.8318241825795577,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.36179,0.239257,0.352287,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.396,4.67,-7.767,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1482,-0.4637,-0.1675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.503129,2256,1677784352,499092340,imu1_frame,0,0,0,,0.13418685363603072,0.28190851135357076,0.4621997320162292,0.8299957152068931,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.425446,0.220068,0.397074,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.441,4.975,-7.968,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1449,-0.4589,-0.1732,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.528278,2257,1677784352,524109125,imu1_frame,0,0,0,,0.1343907028111515,0.28828600019943895,0.46164412987371184,0.8280791136359359,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.435455,0.247024,0.357118,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.465,4.615,-8.051,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1438,-0.46,-0.1773,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.553625,2258,1677784352,549509048,imu1_frame,0,0,0,,0.13469367034743007,0.29408513808653947,0.46031999242920946,0.8267267089521976,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.298573,0.251937,0.306943,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.585,5.066,-7.857,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1392,-0.4635,-0.1788,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.578535,2259,1677784352,574579477,imu1_frame,0,0,0,,0.13399363751881269,0.2980656107737467,0.4599268176084652,0.8256330415039722,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.249788,0.147845,0.216105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.607,4.92,-8.177,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1371,-0.4611,-0.1871,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
